City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-04-30 15:15:40,-42.7826,147.0587,55.92,56,100,9.98
1,Tshikapa,CD,2022-04-30 15:15:41,-6.4167,20.8,82.02,76,79,2.3
2,Busselton,AU,2022-04-30 15:15:41,-33.65,115.3333,56.7,82,0,5.82
3,Clinton,US,2022-04-30 15:15:40,42.587,-82.9199,55.51,52,100,9.22
4,Ribeira Grande,PT,2022-04-30 15:15:42,38.5167,-28.7,66.6,77,75,11.5
5,Rikitea,PF,2022-04-30 15:15:42,-23.1203,-134.9692,75.7,76,48,13.18
6,Nikolskoye,RU,2022-04-30 15:15:43,59.7035,30.7861,46.29,44,92,7.94
7,Cape Town,ZA,2022-04-30 15:15:35,-33.9258,18.4232,67.12,65,0,12.66
8,Mingaora,PK,2022-04-30 15:15:43,34.7758,72.3625,78.58,33,22,5.19
9,Mar Del Plata,AR,2022-04-30 15:10:58,-38.0023,-57.5575,55.42,55,0,11.5
10,Oksfjord,NO,2022-04-30 15:15:44,70.2396,22.3479,32.07,80,100,14.79
11,Mahebourg,MU,2022-04-30 15:15:45,-20.4081,57.7,77.29,78,40,6.91
12,Comodoro Rivadavia,AR,2022-04-30 15:10:49,-45.8667,-67.5,53.46,54,40,16.11
13,Puerto Ayora,EC,2022-04-30 15:15:45,-0.7393,-90.3518,76.96,84,36,10.2
14,Santa Maria,BR,2022-04-30 15:15:22,-29.6842,-53.8069,63.7,68,0,12.66
15,Ati,TD,2022-04-30 15:15:46,13.2154,18.3353,105.93,11,100,4.81
16,Albany,US,2022-04-30 15:15:40,42.6001,-73.9662,54.88,32,2,3.0
17,Jamestown,US,2022-04-30 15:15:46,42.097,-79.2353,58.01,29,0,7.0
18,Namibe,AO,2022-04-30 15:15:47,-15.1961,12.1522,77.4,73,8,9.98
19,Punta Arenas,CL,2022-04-30 15:15:47,-53.15,-70.9167,41.11,81,20,4.61
20,Kodinsk,RU,2022-04-30 15:15:48,58.6881,99.1844,44.44,99,96,1.7
21,Butaritari,KI,2022-04-30 15:15:48,3.0707,172.7902,80.62,82,90,12.03
22,Bluff,NZ,2022-04-30 15:15:49,-46.6,168.3333,57.22,73,84,19.95
23,Kahului,US,2022-04-30 15:15:49,20.8947,-156.47,73.85,80,20,14.97
24,Kaitangata,NZ,2022-04-30 15:15:50,-46.2817,169.8464,49.23,88,22,4.76
25,Lubango,AO,2022-04-30 15:15:50,-14.9172,13.4925,75.88,37,28,5.03
26,Zhezkazgan,KZ,2022-04-30 15:15:51,47.8043,67.7144,71.58,37,0,4.47
27,Tecolutla,MX,2022-04-30 15:15:51,20.4833,-97.0167,84.06,71,15,2.77
28,Kastamonu,TR,2022-04-30 15:14:05,41.5,33.6667,50.76,87,100,11.25
29,Avarua,CK,2022-04-30 15:15:52,-21.2078,-159.775,78.85,83,20,4.61
30,Ushuaia,AR,2022-04-30 15:11:31,-54.8,-68.3,40.62,81,0,5.75
31,Talcahuano,CL,2022-04-30 15:15:52,-36.7167,-73.1167,49.68,71,0,6.91
32,Victoria,HK,2022-04-30 15:13:49,22.2855,114.1577,79.18,86,100,11.99
33,Anadyr,RU,2022-04-30 15:15:53,64.75,177.4833,28.9,86,40,2.24
34,Quatre Cocos,MU,2022-04-30 15:15:53,-20.2078,57.7625,77.11,78,74,11.74
35,Mataura,NZ,2022-04-30 15:15:54,-46.1927,168.8643,48.16,90,79,4.21
36,Cabadiangan,PH,2022-04-30 15:15:54,9.7531,122.4739,80.47,80,20,2.48
37,Barrow,US,2022-04-30 15:15:35,71.2906,-156.7887,10.42,85,40,10.36
38,Formosa Do Rio Preto,BR,2022-04-30 15:15:55,-11.0483,-45.1931,88.66,36,94,6.22
39,Alice Springs,AU,2022-04-30 15:15:55,-23.7,133.8833,62.15,63,8,9.22
40,Bullhead City,US,2022-04-30 15:15:56,35.1478,-114.5683,78.94,12,40,16.11
41,Bambous Virieux,MU,2022-04-30 15:15:56,-20.3428,57.7575,77.25,78,40,6.91
42,Upernavik,GL,2022-04-30 15:15:57,72.7868,-56.1549,19.02,82,100,15.66
43,Colac,AU,2022-04-30 15:15:57,-38.3333,143.5833,53.83,85,2,9.75
44,Okakarara,NA,2022-04-30 15:15:58,-20.5833,17.4333,82.54,20,89,5.95
45,Arlit,NE,2022-04-30 15:15:58,18.7369,7.3853,104.22,5,100,9.15
46,Port Alfred,ZA,2022-04-30 15:16:59,-33.5906,26.891,65.17,67,2,5.99
47,Tasiilaq,GL,2022-04-30 15:16:59,65.6145,-37.6368,44.76,42,70,14.36
48,Mamaku,NZ,2022-04-30 15:17:00,-38.1,176.0833,49.59,99,39,2.75
49,Atuona,PF,2022-04-30 15:17:00,-9.8,-139.0333,77.95,77,54,13.58
50,East London,ZA,2022-04-30 15:17:01,-33.0153,27.9116,67.14,68,0,17.27
51,Pisco,PE,2022-04-30 15:17:01,-13.7,-76.2167,70.02,77,54,5.75
52,Visby,SE,2022-04-30 15:17:02,57.6409,18.296,52.05,32,20,14.97
53,Tautira,PF,2022-04-30 15:17:03,-17.7333,-149.15,79.65,75,19,15.68
54,Svetlogorsk,BY,2022-04-30 15:17:03,52.6333,29.7333,52.9,40,60,6.11
55,Teya,RU,2022-04-30 15:17:04,60.3778,92.6267,35.2,99,100,2.37
56,Palamos,ES,2022-04-30 15:17:04,41.8484,3.1291,67.01,55,99,3.31
57,Georgetown,MY,2022-04-30 15:13:24,5.4112,100.3354,84.13,79,20,0.0
58,Sur,OM,2022-04-30 15:17:05,22.5667,59.5289,90.5,50,67,14.34
59,Lagoa,PT,2022-04-30 15:17:05,39.05,-27.9833,61.16,85,3,12.8
60,Severo-Kurilsk,RU,2022-04-30 15:17:06,50.6789,156.125,33.96,82,92,16.98
61,Srednekolymsk,RU,2022-04-30 15:17:06,67.45,153.6833,2.68,97,51,4.94
62,Hilo,US,2022-04-30 15:17:07,19.7297,-155.09,73.27,97,75,4.61
63,Airai,TL,2022-04-30 15:17:07,-8.9266,125.4092,60.26,90,91,3.13
64,Kieta,PG,2022-04-30 15:17:08,-6.2167,155.6333,78.82,84,74,2.24
65,Ballina,AU,2022-04-30 15:17:09,-28.8667,153.5667,69.76,93,100,11.5
66,Hasaki,JP,2022-04-30 15:17:09,35.7333,140.8333,46.8,54,47,11.54
67,Baindur,IN,2022-04-30 15:17:10,13.8667,74.6333,83.95,82,97,6.29
68,Bredasdorp,ZA,2022-04-30 15:17:10,-34.5322,20.0403,65.86,52,16,11.72
69,Castro,BR,2022-04-30 15:17:11,-24.7911,-50.0119,62.85,83,99,7.54
70,Gomfoi,GR,2022-04-30 15:17:11,39.4636,21.6925,66.72,66,95,3.62
71,Saint-Philippe,RE,2022-04-30 15:17:12,-21.3585,55.7679,78.39,79,45,11.18
72,Ayagoz,KZ,2022-04-30 15:17:12,47.9714,80.4392,62.35,23,100,7.92
73,Danshui,CN,2022-04-30 15:17:13,22.7984,114.4672,74.34,87,100,4.85
74,Tuktoyaktuk,CA,2022-04-30 15:17:13,69.4541,-133.0374,23.0,86,20,6.91
75,Gizo,SB,2022-04-30 15:17:14,-8.103,156.8419,82.92,71,29,3.8
76,Arraial Do Cabo,BR,2022-04-30 15:17:14,-22.9661,-42.0278,76.96,78,75,9.22
77,Cody,US,2022-04-30 15:17:15,44.5263,-109.0565,44.58,63,0,1.99
78,Roald,NO,2022-04-30 15:17:15,62.5833,6.1333,52.72,71,75,9.22
79,Shenjiamen,CN,2022-04-30 15:17:16,29.9576,122.298,55.53,79,100,10.58
80,Vardo,NO,2022-04-30 15:17:16,70.3705,31.1107,30.02,64,100,16.58
81,Dalvik,IS,2022-04-30 15:17:17,65.9702,-18.5286,57.13,53,77,13.62
82,Roebourne,AU,2022-04-30 15:17:17,-20.7833,117.1333,78.48,46,79,15.86
83,Perth,AU,2022-04-30 15:17:18,-31.9333,115.8333,60.67,76,0,0.0
84,Talisay,PH,2022-04-30 15:17:18,10.2447,123.8494,82.42,83,40,0.0
85,Saint-Francois,FR,2022-04-30 15:17:19,46.4154,3.9054,65.68,42,0,13.8
86,Lebu,CL,2022-04-30 15:16:47,-37.6167,-73.65,52.7,60,0,12.55
87,Saskylakh,RU,2022-04-30 15:17:19,71.9167,114.0833,15.22,92,100,16.89
88,Havre-Saint-Pierre,CA,2022-04-30 15:17:20,50.2334,-63.5986,39.2,75,100,18.41
89,Qaqortoq,GL,2022-04-30 15:17:20,60.7167,-46.0333,43.66,69,50,6.71
90,Placerville,US,2022-04-30 15:16:38,38.7296,-120.7986,61.29,58,0,4.61
91,Stara Synyava,UA,2022-04-30 15:17:21,49.6032,27.6191,56.23,46,87,5.84
92,Borodino,RU,2022-04-30 15:18:22,55.9106,94.8983,59.95,61,100,9.62
93,Kathu,TH,2022-04-30 15:18:22,7.9178,98.3332,88.7,91,90,7.87
94,Sai Buri,TH,2022-04-30 15:18:23,6.7013,101.6168,81.97,80,79,0.29
95,Praia,CV,2022-04-30 15:18:23,14.9215,-23.5087,81.14,41,0,21.85
96,Saint-Joseph,RE,2022-04-30 15:18:24,-21.3667,55.6167,77.38,81,48,8.39
97,Pevek,RU,2022-04-30 15:18:24,69.7008,170.3133,-5.71,100,96,0.98
98,Katsuura,JP,2022-04-30 15:18:24,35.1333,140.3,52.95,66,41,8.66
99,Hithadhoo,MV,2022-04-30 15:18:25,-0.6,73.0833,85.77,69,71,16.17
100,Fortuna,US,2022-04-30 15:18:25,40.5982,-124.1573,54.99,95,100,5.01
101,Auki,SB,2022-04-30 15:18:26,-8.7676,160.7034,77.85,85,100,2.06
102,Port Hardy,CA,2022-04-30 15:18:26,50.6996,-127.4199,50.0,81,75,12.66
103,Knysna,ZA,2022-04-30 15:18:27,-34.0363,23.0471,63.39,70,1,7.31
104,Faanui,PF,2022-04-30 15:18:27,-16.4833,-151.75,80.22,75,15,16.75
105,Tyukhtet,RU,2022-04-30 15:18:28,56.5389,89.3011,58.66,60,79,4.03
106,Arman,RU,2022-04-30 15:18:28,59.7,150.1667,31.64,77,13,6.8
107,Torbay,CA,2022-04-30 15:18:29,47.6666,-52.7314,41.29,95,100,6.91
108,Longyearbyen,SJ,2022-04-30 15:18:29,78.2186,15.6401,15.64,53,0,3.44
109,Hurghada,EG,2022-04-30 15:18:30,27.2574,33.8129,84.24,50,2,9.57
110,Manerbio,IT,2022-04-30 15:18:30,45.3558,10.1352,72.68,40,0,3.44
111,Constitucion,CL,2022-04-30 15:17:24,-35.3333,-72.4167,58.15,44,0,6.17
112,Sistranda,NO,2022-04-30 15:18:31,63.7256,8.834,44.56,74,96,17.72
113,Sulina,RO,2022-04-30 15:18:31,45.1559,29.6536,56.16,64,74,10.29
114,Astrea,CO,2022-04-30 15:18:32,9.4983,-73.9759,85.93,67,100,3.8
115,Yuncheng,CN,2022-04-30 15:18:32,35.0231,110.9928,53.51,55,100,5.19
116,Vaini,TO,2022-04-30 15:18:33,-21.2,-175.2,75.36,100,100,6.91
117,Hermanus,ZA,2022-04-30 15:18:33,-34.4187,19.2345,63.81,74,52,7.52
118,Sibolga,ID,2022-04-30 15:18:34,1.7427,98.7792,78.55,89,100,2.77
119,Nome,US,2022-04-30 15:14:07,64.5011,-165.4064,41.07,61,100,12.66
120,Hobart,AU,2022-04-30 15:18:34,-42.8794,147.3294,56.26,87,75,11.5
121,Abha,SA,2022-04-30 15:18:35,18.2164,42.5053,71.42,56,40,11.5
122,Atar,MR,2022-04-30 15:18:35,20.5169,-13.0499,93.25,14,0,0.0
123,Port Elizabeth,ZA,2022-04-30 15:18:36,-33.918,25.5701,67.1,74,0,19.57
124,Sao Joao Da Barra,BR,2022-04-30 15:18:36,-21.6403,-41.0511,82.49,63,11,2.21
125,Carnarvon,AU,2022-04-30 15:18:37,-24.8667,113.6333,68.07,68,40,9.22
